threshold,TP,TN,FP,FN
0.0,143.0,0.0,1921.0,0.0
0.05,143.0,0.0,1921.0,0.0
0.1,143.0,0.0,1921.0,0.0
0.15,143.0,0.0,1921.0,0.0
0.2,143.0,0.0,1921.0,0.0
0.25,143.0,0.0,1921.0,0.0
0.3,143.0,0.0,1921.0,0.0
0.35,143.0,0.0,1921.0,0.0
0.4,143.0,0.0,1921.0,0.0
0.45,143.0,0.0,1921.0,0.0
0.5,143.0,0.0,1921.0,0.0
0.55,143.0,0.0,1921.0,0.0
0.6,143.0,0.0,1921.0,0.0
0.65,143.0,0.0,1921.0,0.0
0.7,143.0,0.0,1921.0,0.0
0.75,143.0,0.0,1921.0,0.0
0.8,143.0,1.0,1920.0,0.0
0.85,143.0,1.0,1920.0,0.0
0.9,143.0,2.0,1919.0,0.0
0.95,143.0,7.0,1914.0,0.0
1.0,0.0,1921.0,0.0,143.0
